name,shape,grasp_mode,offset_x,offset_y,offset_z
chips_can,cylinder,above,0.02,0,0.06
master_chef_can,box,above,0.02,0,0.06
cracker_box,box,frontal,-0.1,0,0.01
sugar_box,box,frontal,-0.1,0,0.01
tomato_soup_can,cylinder,frontal,-0.1,0,0.01
mustard_bottle,other,frontal,-0.1,0,0.01
tuna_fish_can,cylinder,above,0.02,0,0.06
pudding_box,box,frontal,-0.1,0,0.01
gelatin_box,box,frontal,-0.1,0,0.01
potted_meat_can,box,frontal,-0.1,0,0.01
banana,other,above,0,0,0.06
strawberry,other,above,0.02,0,0.06
apple,sphere,above,0.02,0,0.06
lemon,other,above,0.02,0,0.06
peach,sphere,above,0.02,0,0.06
pear,other,above,0.02,0,0.06
orange,sphere,above,0.02,0,0.06
plum,sphere,above,0.02,0,0.06
a_pitcher_base,ignore,ignore,-0.1,0,0.01
b_pitcher_base_v2,ignore,ignore,-0.1,0,0.01
pitcher_lid,ignore,ignore,-0.1,0,0.01
bleach_cleanser,cylinder,frontal,-0.1,0,0.01
windex_bottle,other,frontal,-0.1,0,0.01
bowl,cylinder,above,0.03,-0.05,0.08
mug,cylinder,above,0.02,0,0.06
sponge,box,above,0,0,0.06
plate,other,above,0,0,0.06
fork,other,above,0,0,0.06
spoon,other,above,0,0,0.06
spatula,other,above,0,0,0.06
large_marker,cylinder,above,0.02,0,0.06
medium_clamp,other,above,0.02,0,0.06
large_clamp,other,above,0,0,0.06
extra_large_clamp,other,above,0.02,0,0.06
a_mini_soccer_ball,sphere,above,0,0,0.06
b_mini_soccer_ball_v2,sphere,above,0,0,0.06
softball,sphere,above,0,0,0.06
baseball,sphere,above,0,0,0.06
tennis_ball,sphere,above,0,0,0.06
racquetball,sphere,above,0,0,0.06
golf_ball,sphere,above,0,0,0.06
chain,other,above,0,0,0.06
foam_brick,cylinder,frontal,-0.1,0,0.01
dice,cylinder,above,0,0,0.06
a_marbles,other,above,0,0,0.06
b_marbles,other,above,0,0,0.06
a_cups,cylinder,above,0.02,0,0.06
b_cups,cylinder,above,0.02,0,0.06
c_cups,cylinder,above,0.02,0,0.06
d_cups,cylinder,above,0.02,0,0.06
e_cups,cylinder,above,0.02,0,0.06
f_cups,cylinder,above,0.02,0,0.06
g_cups,cylinder,above,0.02,0,0.06
h_cups,cylinder,above,0.02,0,0.06
i_cups,cylinder,above,0.02,0,0.06
j_cups,cylinder,above,0.02,0,0.06
a_colored_wood_blocks,cylinder,above,0,0,0.06
b_colored_wood_blocks,other,above,0,0,0.06
nine_hole_peg_test,cylinder,above,0,0,0.06
a_toy_airplane,other,above,0,0,0.06
a_lego_duplo,cylinder,above,0,0,0.06
b_lego_duplo,cylinder,above,0,0,0.06
c_lego_duplo,cylinder,above,0,0,0.06
d_lego_duplo,cylinder,above,0,0,0.06
e_lego_duplo,cylinder,above,0,0,0.06
f_lego_duplo,cylinder,above,0,0,0.06
rubiks_cube,box,above,0.02,0,0.06
